City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,nashville,36.1659,-86.7844,28.73,47,0,7.2,US,1745008537
243,oum hadjer,13.2954,19.6966,31.38,7,42,4.4,TD,1745008538
244,barra de santo antonio,-9.4047,-35.5072,27.6,69,3,3.49,BR,1745008539
245,vung tau,10.346,107.0843,27.11,79,100,3.65,VN,1745008540
246,matias barbosa,-21.8692,-43.3194,21.77,90,100,1.48,BR,1745008541
247,siwa oasis,29.2041,25.5195,24.5,16,10,1.16,EG,1745008542
248,hadibu,12.65,54.0333,26.58,64,0,0.76,YE,1745008543
249,sikonge,-5.6333,32.7667,20.53,78,78,1.46,TZ,1745008544
250,lompoc,34.6391,-120.4579,18.23,66,0,8.23,US,1745008546
251,noumea,-22.2763,166.4572,25.0,99,43,2.45,NC,1745008547
252,kasongo-lunda,-6.4667,16.8167,20.57,97,20,0.39,CD,1745008549
253,kzyltu,53.6364,72.3414,-2.62,52,0,2.53,KZ,1745008550
254,ak'ordat,15.5486,37.8867,31.36,38,65,6.7,ER,1745008551
255,inyonga,-6.7167,32.0667,18.91,91,100,1.84,TZ,1745008552
256,kibondo,-3.5864,30.7203,16.98,95,100,2.01,TZ,1745008553
257,kerikeri,-35.2268,173.9474,21.06,93,70,4.47,NZ,1745008554
258,lerwick,60.1545,-1.1494,6.31,74,14,3.56,GB,1745008557
259,singarayakonda,15.25,80.0333,27.95,86,23,5.24,IN,1745008558
260,nova sintra,14.8667,-24.7167,21.7,81,0,11.13,CV,1745008559
261,san patricio,28.017,-97.5169,27.97,64,100,10.71,US,1745008560
262,keetmanshoop,-26.5833,18.1333,23.51,43,31,1.54,NA,1745008561
263,new amsterdam,6.25,-57.5167,27.65,81,40,2.77,GY,1745008562
264,ayios konstandinos,38.6333,21.4,14.8,79,1,1.8,GR,1745008563
265,sinabang,2.4803,96.3801,26.72,84,88,1.55,ID,1745008565
266,tottenham,-32.2333,147.35,15.1,43,99,3.07,AU,1745008566
267,tual,-5.6667,132.75,28.44,75,91,3.42,ID,1745008567
268,port lincoln,-34.7333,135.8667,20.3,71,100,5.49,AU,1745008568
269,mount isa,-20.7333,139.5,15.87,88,78,0.0,AU,1745008569
270,berdigestyakh,62.0989,126.6992,-5.4,97,62,2.16,RU,1745008570
271,tindouf,27.6711,-8.1474,28.25,13,3,3.09,DZ,1745008571
272,princeville,45.7668,-61.2985,9.17,51,0,4.47,CA,1745008572
273,kapuskasing,49.4169,-82.4331,4.05,100,100,3.09,CA,1745008574
274,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1745008575
275,dunedin,-45.8742,170.5036,14.04,93,100,2.62,NZ,1745008576
276,aldan,58.6031,125.3894,-6.99,91,85,1.96,RU,1745008577
277,brandon,27.9378,-82.2859,32.25,42,40,4.12,US,1745008578
278,cova figueira,14.8905,-24.2934,16.81,79,0,7.04,CV,1745008579
279,bayanaul,50.7889,75.6956,-4.11,73,100,5.4,KZ,1745008580
280,nago,26.5881,127.9761,19.89,90,100,4.34,JP,1745008581
281,kavaratti,10.5669,72.642,28.56,68,17,2.8,IN,1745008583
282,yeraliyev,43.2,51.65,14.55,49,5,2.99,KZ,1745008584
283,nuuk,64.1835,-51.7216,2.34,69,75,3.6,GL,1745008585
284,brokopondo,4.75,-55.1667,27.15,84,60,3.59,SR,1745008587
285,bhamo,24.2667,97.2333,20.45,83,60,0.46,MM,1745008588
286,laojunmiao,39.8333,97.7333,11.44,21,100,1.97,CN,1745008589
287,kuanda,56.3161,116.0806,-2.54,79,1,1.13,RU,1745008590
288,yaroslavskiy,44.1683,132.2072,4.91,82,100,2.53,RU,1745008592
289,fortaleza,-3.7227,-38.5247,29.07,74,20,4.12,BR,1745008593
290,enewetak,11.3474,162.3373,27.42,75,91,8.88,MH,1745008594
291,guerrero negro,27.9769,-114.0611,19.8,53,0,7.58,MX,1745008595
292,haiku-pauwela,20.9219,-156.3051,27.25,69,40,9.39,US,1745008597
293,shahrak,34.1074,64.3052,2.97,78,67,1.89,AF,1745008598
294,balabac,7.9868,117.0645,26.78,81,77,2.69,PH,1745008599
295,cruzeiro do sul,-29.5128,-51.9853,25.28,64,50,1.12,BR,1745008600
296,nuku'alofa,-21.1333,-175.2,26.19,89,100,6.17,TO,1745008601
297,ainring,47.8167,12.95,9.9,81,75,1.54,DE,1745008603
298,gokwe,-18.2048,28.9349,14.94,93,98,4.72,ZW,1745008604
299,urangan,-25.3,152.9,19.74,84,3,2.91,AU,1745008606
300,sibut,5.718,19.0739,22.38,96,99,4.11,CF,1745008607
301,nyurba,63.2842,118.3319,-0.98,88,90,2.96,RU,1745008608
302,dickinson,29.4608,-95.0513,28.92,73,40,7.2,US,1745008610
303,pariaman,-0.619,100.12,24.03,87,67,2.23,ID,1745008611
304,berezovo,63.9381,65.0419,-8.51,96,96,1.36,RU,1745008614
305,palpa,-14.5336,-75.1856,31.07,32,50,5.1,PE,1745008615
306,mont-dore,-22.2833,166.5833,25.0,99,28,2.02,NC,1745008616
307,tolanaro,-25.0319,46.9987,23.17,88,99,0.54,MG,1745008617
308,macon,39.8667,-88.9668,25.03,61,75,9.77,US,1745008618
309,yarmouth,41.7057,-70.2286,14.42,47,0,7.72,US,1745008619
310,kolonia,50.9333,6.95,9.95,85,20,1.54,DE,1745008622
311,chinde,26.8212,87.7095,20.78,71,56,2.17,NP,1745008623
312,mezhdurechenskiy,59.6,65.9333,-3.1,53,72,2.76,RU,1745008624
313,mount pearl,47.5166,-52.7813,6.92,71,75,7.72,CA,1745008625
314,vernon,50.2581,-119.2691,20.97,29,19,1.54,CA,1745008626
315,riachao do jacuipe,-11.8069,-39.3856,30.76,45,11,5.57,BR,1745008627
316,kingston,17.997,-76.7936,32.53,52,20,2.06,JM,1745008628
317,grand baie,-20.0182,57.5802,24.14,87,0,0.45,MU,1745008629
318,praia da vitoria,38.7333,-27.0667,16.14,72,40,2.34,PT,1745008630
319,zapala,-38.8992,-70.0544,12.47,24,100,3.98,AR,1745008632
320,baganga,7.5739,126.56,25.07,86,100,2.49,PH,1745008633
321,midleton,51.9153,-8.1805,11.88,93,100,5.02,IE,1745008634
322,hithadhoo,-0.6,73.0833,28.6,74,10,4.03,MV,1745008635
323,markovo,57.3206,107.0881,1.03,84,100,4.84,RU,1745008636
324,pandan,14.0453,124.1694,25.52,83,59,3.01,PH,1745008637
325,port-vila,-17.7338,168.3219,21.78,100,40,0.51,VU,1745008638
326,camiri,-20.05,-63.5167,23.88,83,100,0.0,BO,1745008640
327,hilo,19.7297,-155.09,27.85,68,20,4.12,US,1745008641
328,puerto aysen,-45.4,-72.7,11.18,89,94,1.05,CL,1745008642
329,prachuap khiri khan,12.2167,99.75,24.99,93,93,1.14,TH,1745008643
330,flying fish cove,-10.4217,105.6791,25.82,88,75,2.57,CX,1745008644
331,el rosario,24.2556,-107.1828,31.87,30,100,5.62,MX,1745008646
332,yamada,39.4667,141.95,11.99,76,99,3.45,JP,1745008647
333,al bawiti,28.3492,28.8659,19.84,32,0,4.71,EG,1745008649
334,vilyuchinsk,52.9306,158.4028,2.15,97,40,3.19,RU,1745008650
335,villa gesell,-37.2639,-56.973,16.47,54,6,8.82,AR,1745008651
336,miasteczko slaskie,50.5026,18.9395,12.77,86,0,2.06,PL,1745008652
337,new norfolk,-42.7826,147.0587,12.18,93,100,1.2,AU,1745008653
338,geraldton,-28.7667,114.6,12.23,71,0,4.12,AU,1745008654
339,coahuayana de hidalgo,18.7,-103.6583,32.54,31,94,3.74,MX,1745008655
340,san lawrenz,36.0553,14.204,16.59,75,100,2.56,MT,1745008656
341,magadi,12.9667,77.2333,23.75,67,22,1.76,IN,1745008657
342,darhan,49.4867,105.9228,8.3,49,31,4.53,MN,1745008659
343,ad dilam,23.9915,47.1627,25.0,21,2,3.76,SA,1745008660
344,al qaryatayn,34.2296,37.2407,16.82,36,0,0.67,SY,1745008661
345,east ballina,-28.8667,153.5833,16.47,87,23,3.06,AU,1745008662
346,zaragoza,41.6561,-0.8773,18.78,56,75,4.12,ES,1745008663
347,tucumcari,35.1717,-103.725,13.91,35,20,6.69,US,1745008664
348,charlotte,35.2271,-80.8431,27.1,41,20,6.69,US,1745008665
349,queenstown,-31.8976,26.8753,11.6,88,49,1.16,ZA,1745008666
350,viedma,-40.8135,-62.9967,14.45,50,64,8.78,AR,1745008667
351,chilliwack,49.1747,-121.9443,20.55,38,43,2.24,CA,1745008529
352,kisiwani,-4.1333,37.95,21.24,95,29,0.98,TZ,1745008671
353,el sauzal de rodriguez,31.9,-116.6833,14.96,72,30,6.06,MX,1745008672
354,keflavik,64.0049,-22.5624,6.24,52,20,1.03,IS,1745008673
355,anar darah,32.7587,61.654,10.21,58,0,6.6,AF,1745008674
356,lata,40.1629,-8.3327,10.39,93,74,4.99,PT,1745008675
357,mazatlan,23.2167,-106.4167,28.98,73,40,3.6,MX,1745008676
358,fukuecho,32.6881,128.8419,16.54,94,29,3.39,JP,1745008679
359,ixtapa,20.7,-105.2,26.57,65,40,5.14,MX,1745008680
360,wagar,16.1525,36.2032,32.11,36,14,4.37,SD,1745008681
361,de aar,-30.6497,24.0123,17.0,63,0,5.56,ZA,1745008682
362,paranavai,-23.0731,-52.4653,20.18,91,100,1.33,BR,1745008683
363,buka,40.8108,69.1986,12.17,85,100,4.09,UZ,1745008684
